序号,BOM层级,父物料代码,父物料名称,子物料代码,子物料名称,数量
1,1,MN-TM3B2AL,轮式(驾驶室),MN-200839408,后桥壳体总成,1
2,1,MN-TM3B2AL,轮式(驾驶室),MN-201140516,机罩总成,1
3,1,MN-TM3B2AL,轮式(驾驶室),MN-201220777,变速箱壳体总成,1
4,1,MN-TM3B2AL,轮式整机(驾驶室),MN-201329354/1,发动机总成,1
5,1,MN-TM3B2AN,轮式(驾驶室),MN-200839408,后桥壳体总成,1
6,1,MN-TM3B2AN,轮式(驾驶室),MN-201140516,机罩总成,1
7,1,MN-TM3B2AN,轮式(驾驶室),MN-201220777,变速箱壳体总成,1
8,1,MN-TM3B2AN,轮式整机(驾驶室),MN-201329354/2,发动机总成,1
9,1,MN-TM3G2A4,轮式整机(驾驶室),MN-200337028/1,变速箱壳体总成虚拟件,1
10,1,MN-TM3G2A4,轮式(驾驶室),MN-201018351,后桥壳体总成,1
11,1,MN-TM3G2A4,轮式(驾驶室),MN-201590776,机罩总成,1
12,1,MN-TM3G2A4,轮式(驾驶室),MN-201590779,驾驶室总成,1
13,1,MN-TM3G2A5,轮式整机(驾驶室),MN-200337028/2,变速箱壳体总成虚拟件,1
14,1,MN-TM3G2A5,轮式(驾驶室),MN-201018351,后桥壳体总成,1
15,1,MN-TM3G2A5,轮式(驾驶室),MN-201590776,机罩总成,1
16,1,MN-TM4C1A,差速转向全履带,MN-201402406,机罩总成,1
17,1,MN-TM4C1A,差速转向全履带整机,MN-201605426,驾驶室总成,1
18,1,MN-TM4C2A,差速转向全履带,MN-201240711,机罩总成,1
19,1,MN-TM4C2A,差速转向全履带整机,MN-201430915,驾驶室总成,1
20,1,MN-TM4C2A,差速转向全履带,MN-TDPYSJ01/51,底盘颜色件01/亚光黑,1
21,2,MN-200337028/1,变速箱壳体总成虚拟件,MN-200337028-1,变速箱壳体,1
22,2,MN-200337028/1,变速箱壳体总成虚拟件,MN-800032650,六角法兰面垫圈,12
23,2,MN-200337028/1,变速箱壳体总成虚拟件,MN-800032652,六角法兰面螺栓,12
24,2,MN-200337028/2,变速箱壳体总成虚拟件,MN-200337028-2,变速箱壳体,1
25,2,MN-200337028/2,变速箱壳体总成虚拟件,MN-800032651,六角法兰面垫圈,10
26,2,MN-200337028/2,变速箱壳体总成虚拟件,MN-800032653,六角法兰面螺栓,10
27,2,MN-200839408,后桥壳体总成,MN-200839405,后桥壳体,1
28,2,MN-201018351,后桥壳体总成,MN-201443902,后桥壳体,1
29,2,MN-201140516,机罩总成,MN-200315111,前减震胶条,1
30,2,MN-201140516,机罩总成,MN-201140509/50,机罩焊合总成/琉璃黑,1
31,2,MN-201140516,机罩总成,MN-201140518,机罩下侧板总成,1
32,2,MN-201220777,变速箱壳体总成,MN-201307086,变速箱壳体,1
33,2,MN-201220777,变速箱壳体总成,MN-800026047,标准型弹簧垫圈,20
34,2,MN-201220777,变速箱壳体总成,MN-800058931,六角螺母,8
35,2,MN-201220777,变速箱壳体总成,MN-800079904,双头螺柱,8
36,2,MN-201240711,机罩总成,MN-200837075/10,机罩上盖板焊合/雷欧蓝,1
37,2,MN-201240711,机罩总成,MN-201211289/53,机罩焊合总成琉璃黑(出口),1
38,2,MN-201329354/1,发动机总成,MN-201329364/1,发动机DH3.2T0226-700*01,1
39,2,MN-201329354/2,发动机总成,MN-201329364/2,发动机DH3.2T0226-700*01,1
40,2,MN-201402406,机罩总成,MN-201140509/50,机罩焊合总成/琉璃黑,1
41,2,MN-201402406,机罩总成,MN-201244223,机罩下侧板总成,1
42,2,MN-201430915,驾驶室总成,MN-201547725/50,驾驶室焊装总成琉璃黑,1
43,2,MN-201430915,驾驶室总成,MN-201547725/51,驾驶室焊装总成/亚光黑,1
44,2,MN-201590776,机罩总成,MN-200837075/10,机罩上盖板焊合/雷欧蓝,1
45,2,MN-201590776,机罩总成,MN-200837075/23,机罩上盖板焊合信号黄,1
46,2,MN-201590776,机罩总成,MN-201211289/53,机罩焊合总成琉璃黑(出口),1
47,2,MN-201590776,机罩总成,MN-800044212,六角法兰面螺栓,21
48,2,MN-201590779,驾驶室总成,MN-201590784/51,驾驶室焊装总成/亚光黑,1
49,2,MN-201605426,驾驶室总成,MN-201605434/50,驾驶室焊装总成/琉璃黑,1
50,2,MN-201605426,驾驶室总成,MN-201605434/51,驾驶室焊装总成/亚光黑,1
51,2,MN-201605426,底盘颜色件01/亚光黑,MN-TDPYSJ03,底盘颜色件03,1
52,2,MN-TDPYSJ01/51,底盘颜色件01/亚光黑,MN-TDPYSJ01,底盘颜色件01,1
53,2,MN-TDPYSJ01/51,底盘颜色件01/亚光黑,MN-TDPYSJ02,底盘颜色件02,1
54,3,MN-200337028-1,变速箱壳体总成,MN-201307086,变速箱壳体,1
55,3,MN-200337028-1,变速箱壳体总成,MN-800058931,六角螺母,6
56,3,MN-200337028-2,变速箱壳体总成,MN-201308086,变速箱壳体,1
57,3,MN-200337028-2,变速箱壳体总成,MN-800058930,六角螺母,8
58,3,MN-200837075/10,机罩上盖板焊合/雷欧蓝,MN-200837075,机罩上盖板焊合,1
59,3,MN-200837075/23,机罩上盖板焊合信号黄,MN-200837075,机罩上盖板焊合,1
60,3,MN-200839405,后桥壳体,MN-200839405/MP,后桥壳体（毛坯）,1
61,3,MN-201140509/50,机罩焊合总成/琉璃黑,MN-201140509,机罩焊合总成,1
62,3,MN-201140518,机罩下侧板总成,MN-200914310/10,右下侧板焊合/雷欧蓝,1
63,3,MN-201140518,机罩下侧板总成,MN-201448652/10,左下侧板焊合/雷欧蓝,1
64,3,MN-201211289/53,机罩焊合总成琉璃黑(出口),MN-201211289,机罩焊合总成,1
65,3,MN-201244223,机罩下侧板总成,MN-200465371,工艺孔堵盖,3
66,3,MN-201244223,机罩下侧板总成,MN-201408391/10,右下侧板焊合/雷欧蓝,1
67,3,MN-201443902,后桥壳体,MN-200960010,后桥壳体毛坯图,1
