序号,设备代码,单位成本,设备数,设备利用率,加班率,加班成本
1,涂装-1,58,2,0.9,0.5,1.2
2,涂装-2,51,2,0.9,0.5,1.2
3,焊接设备1,116,2,0.9,0.5,1.2
4,焊接设备2,112,2,0.9,0.5,1.2
5,焊接设备3,95,2,0.9,0.5,1.2
6,焊接设备4,89,2,0.9,0.5,1.2
7,焊接设备5,51,2,0.9,0.5,1.2
8,装配1,12,2,0.9,0.5,1.2
9,装配2,15,2,0.9,0.5,1.2
10,装配3,12,2,0.9,0.5,1.2
11,装配4,16,2,0.9,0.5,1.2
12,装配5,14,2,0.9,0.5,1.2
13,装配6,15,2,0.9,0.5,1.2
14,装配7,12,2,0.9,0.5,1.2
15,装配8,16,2,0.9,0.5,1.2
16,装配9,14,2,0.9,0.5,1.2
17,装配10,16,2,0.9,0.5,1.2
18,机加1,8,2,0.9,0.5,1.2
19,机加2,5,2,0.9,0.5,1.2
20,机加3,6,2,0.9,0.5,1.2
