订单序号,产品代码,订单价格,订单数量,订单交期,订单等级,允许延期,延期罚金,生产提前期
1,MN-TM4C1A,22000,45,1,3,3,1,0
2,MN-TM3G2A4,30500,36,2,2,2,50,0
3,MN-TM4C1A,21500,63,2,2,3,50,0
4,MN-TM4C2A,27500,40,2,3,3,1,0
5,MN-TM3B2AL,40500,50,3,3,3,1,0
6,MN-TM3G2A5,24500,42,4,2,3,78,0
7,MN-TM3G2A4,30000,45,5,1,0,10000,0
8,MN-TM3B2AN,39000,35,6,3,3,1,0
9,MN-TM3G2A5,24400,50,7,2,3,35,0
10,MN-TM4C2A,28000,31,8,3,3,1,0
11,MN-TM3G2A4,31000,52,9,3,3,1,0
12,MN-TM3B2AL,42000,19,10,1,0,10000,0
13,MN-TM3G2A5,25000,20,10,1,0,10000,0
14,MN-TM4C1A,20500,45,10,2,3,40,0
15,MN-TM4C2A,29000,63,10,3,3,1,0
16,MN-TM3G2A4,33000,25,11,3,3,1,0
17,MN-TM3B2AN,41000,80,12,3,3,1,0
