序号,物料代码,外协价格,期号,外协产能上限
1,MN-201448652/10,200,1,30
1,MN-201448652/10,200,2,30
1,MN-201448652/10,200,3,30
1,MN-201448652/10,200,4,30
1,MN-201448652/10,200,5,30
1,MN-201448652/10,200,6,30
1,MN-201448652/10,200,7,30
1,MN-201448652/10,200,8,30
1,MN-201448652/10,200,9,30
1,MN-201448652/10,200,10,30
1,MN-201448652/10,200,11,30
1,MN-201448652/10,200,12,30
1,MN-201448652/10,200,13,30
1,MN-201448652/10,200,14,30
1,MN-201448652/10,200,15,30
1,MN-201448652/10,200,16,30
1,MN-201448652/10,200,17,30
1,MN-201448652/10,200,18,30
1,MN-201448652/10,200,19,30
1,MN-201448652/10,200,20,30
1,MN-201448652/10,200,21,30
1,MN-201448652/10,200,22,30
1,MN-201448652/10,200,23,30
1,MN-201448652/10,200,24,30
1,MN-201448652/10,200,25,30
1,MN-201448652/10,200,26,30
1,MN-201448652/10,200,27,30
1,MN-201448652/10,200,28,30
2,MN-201590784/51,6000,1,30
2,MN-201590784/51,6000,2,30
2,MN-201590784/51,6000,3,30
2,MN-201590784/51,6000,4,30
2,MN-201590784/51,6000,5,30
2,MN-201590784/51,6000,6,30
2,MN-201590784/51,6000,7,30
2,MN-201590784/51,6000,8,30
2,MN-201590784/51,6000,9,30
2,MN-201590784/51,6000,10,30
2,MN-201590784/51,6000,11,30
2,MN-201590784/51,6000,12,30
2,MN-201590784/51,6000,13,30
2,MN-201590784/51,6000,14,30
2,MN-201590784/51,6000,15,30
2,MN-201590784/51,6000,16,30
2,MN-201590784/51,6000,17,30
2,MN-201590784/51,6000,18,30
2,MN-201590784/51,6000,19,30
2,MN-201590784/51,6000,20,30
2,MN-201590784/51,6000,21,30
2,MN-201590784/51,6000,22,30
2,MN-201590784/51,6000,23,30
2,MN-201590784/51,6000,24,30
2,MN-201590784/51,6000,25,30
2,MN-201590784/51,6000,26,30
2,MN-201590784/51,6000,27,30
2,MN-201590784/51,6000,28,30
