序号,原料代码,原料名称,期号,采购上限
1,MN-800032369,六角法兰面螺栓,1,5000
1,MN-800032369,六角法兰面螺栓,2,0
1,MN-800032369,六角法兰面螺栓,3,5000
1,MN-800032369,六角法兰面螺栓,4,0
1,MN-800032369,六角法兰面螺栓,5,5000
1,MN-800032369,六角法兰面螺栓,6,0
1,MN-800032369,六角法兰面螺栓,7,5000
1,MN-800032369,六角法兰面螺栓,8,0
1,MN-800032369,六角法兰面螺栓,9,5000
1,MN-800032369,六角法兰面螺栓,10,0
1,MN-800032369,六角法兰面螺栓,11,5000
1,MN-800032369,六角法兰面螺栓,12,0
1,MN-800032369,六角法兰面螺栓,13,5000
1,MN-800032369,六角法兰面螺栓,14,0
1,MN-800032369,六角法兰面螺栓,15,5000
1,MN-800032369,六角法兰面螺栓,16,0
1,MN-800032369,六角法兰面螺栓,17,5000
1,MN-800032369,六角法兰面螺栓,18,0
1,MN-800032369,六角法兰面螺栓,19,5000
1,MN-800032369,六角法兰面螺栓,20,0
1,MN-800032369,六角法兰面螺栓,21,5000
1,MN-800032369,六角法兰面螺栓,22,0
1,MN-800032369,六角法兰面螺栓,23,5000
1,MN-800032369,六角法兰面螺栓,24,0
1,MN-800032369,六角法兰面螺栓,25,5000
1,MN-800032369,六角法兰面螺栓,26,5000
1,MN-800032369,六角法兰面螺栓,27,0
1,MN-800032369,六角法兰面螺栓,28,5000
2,MN-200465371,工艺孔堵盖,1,5000
2,MN-200465371,工艺孔堵盖,2,0
2,MN-200465371,工艺孔堵盖,3,5000
2,MN-200465371,工艺孔堵盖,4,0
2,MN-200465371,工艺孔堵盖,5,5000
2,MN-200465371,工艺孔堵盖,6,0
2,MN-200465371,工艺孔堵盖,7,5000
2,MN-200465371,工艺孔堵盖,8,0
2,MN-200465371,工艺孔堵盖,9,50
2,MN-200465371,工艺孔堵盖,10,0
2,MN-200465371,工艺孔堵盖,11,5000
2,MN-200465371,工艺孔堵盖,12,0
2,MN-200465371,工艺孔堵盖,13,5000
2,MN-200465371,工艺孔堵盖,14,0
2,MN-200465371,工艺孔堵盖,15,5000
2,MN-200465371,工艺孔堵盖,16,0
2,MN-200465371,工艺孔堵盖,17,5000
2,MN-200465371,工艺孔堵盖,18,0
2,MN-200465371,工艺孔堵盖,19,5000
2,MN-200465371,工艺孔堵盖,20,0
2,MN-200465371,工艺孔堵盖,21,5000
2,MN-200465371,工艺孔堵盖,22,0
2,MN-200465371,工艺孔堵盖,23,5000
2,MN-200465371,工艺孔堵盖,24,0
2,MN-200465371,工艺孔堵盖,25,5000
2,MN-200465371,工艺孔堵盖,26,5000
2,MN-200465371,工艺孔堵盖,27,0
2,MN-200465371,工艺孔堵盖,28,5000
