序号,原料代码,原料名称,采购成本,采购提前期,初始库存,期末库存,最小库存,最大库存,库存成本
1,MN-200305884,左后灯支座,20.3,0,0,0,0,100000,0.1015
2,MN-200311336,右后灯支座,19.5,0,0,0,0,100000,0.0975
3,MN-200311360,机罩上盖板,110.5,0,0,0,0,100000,0.5525
4,MN-200313583,车门气弹簧安装座,15.952,0,0,0,0,100000,0.07976
5,MN-200315111,前减震胶条,22.352,0,0,0,0,100000,0.11176
6,MN-200315116,前横梁焊合,57.9,0,0,0,0,100000,0.2895
7,MN-200315166,后固定杆,24.752,0,0,0,0,100000,0.12376
8,MN-200315190,右后固定座,23.152,0,0,0,0,100000,0.11576
9,MN-200315191,左后固定座,26.752,0,0,0,0,100002,0.13376
10,MN-200465371,工艺孔堵盖,2.2,0,0,0,0,100000,0.0022
11,MN-200713369,右前固定座,21.7,0,0,0,0,100000,0.1085
12,MN-200713373,左前固定座,23.9,0,0,0,0,100000,0.1195
13,MN-200713377,前固定杆焊合,87,0,0,0,0,100000,0.435
14,MN-200839405/MP,后桥壳体（毛坯）,210.552,0,0,0,0,100000,1.05276
15,MN-200916406,离合限位支架焊合,160.752,0,0,0,0,100000,0.80376
16,MN-200960010,后桥壳体毛坯图,150,0,0,0,0,100000,0.75
17,MN-201307088,变速箱壳体毛坯,135,0,0,0,0,100000,0.675
18,MN-201308088,变速箱壳体毛坯,141,0,0,0,0,100000,0.705
19,MN-201329364/1,发动机DH3.2T0226-700*01,1900,0,0,0,0,100000,9.5
20,MN-201329364/2,发动机DH3.2T0226-700*02,1850,0,0,0,0,100000,9.25
21,MN-201373626,加强板,18.352,0,0,0,0,100000,0.09176000000000001
22,MN-201373627,加强板,11.952,0,0,0,0,100000,0.05976
23,MN-800026047,标准型弹簧垫圈,20.752,0,0,0,0,100000,0.10375999999999999
24,MN-800032369,六角法兰面螺栓,17.9,0,0,0,0,100000,0.0895
25,MN-800032652,六角法兰面螺栓,26,0,0,0,0,100002,0.13
26,MN-800032653,六角法兰面螺栓,28,0,0,0,0,100002,0.14
27,MN-800044212,六角法兰面螺栓,17.552,0,0,0,0,100000,0.08776
28,MN-800045481,六角法兰面螺栓,17,0,0,0,0,100000,0.085
29,MN-800045654,六角法兰面螺栓,26.752,0,0,0,0,100002,0.13376
30,MN-800058930,六角螺母,11.34,0,0,0,0,100000,0.0567
31,MN-800058931,六角螺母,13.55,0,0,0,0,100000,0.06775
32,MN-800079904,双头螺柱,19.95,0,0,0,0,100000,0.09975
33,MN-TDPYSJ01,底盘颜色件01,120.7,0,0,0,0,100000,0.6035
34,MN-TDPYSJ02,底盘颜色件02,125.5,0,0,0,0,100001,0.6275000000000001
35,MN-TDPYSJ03,底盘颜色件03,128,0,0,0,0,100002,0.64
36,MN-800032650,六角法兰面垫圈,12,0,0,0,0,100002,0.06
37,MN-800032651,六角法兰面垫圈,11,0,0,0,0,100002,0.055
