序号,物料代码,物料名称,多工艺编号,设备代码,生产线,工序,工装代码,工装数量,MaxT,产能_第1期,产能_第2期,产能_第3期
1,MN-201605434/50,驾驶室焊装总成/琉璃黑,1,涂装-1,涂装线,涂装,,0,1,18.333333333333332,0,0
2,MN-201605434/50,驾驶室焊装总成/琉璃黑,2,涂装-2,涂装线,涂装,,0,1,13.333333333333334,0,0
3,MN-201605434/51,驾驶室焊装总成/亚光黑,1,涂装-1,涂装线,涂装,,0,1,20,0,0
4,MN-201605434/51,驾驶室焊装总成/亚光黑,2,涂装-2,涂装线,涂装,,0,1,11.666666666666666,0,0
5,MN-201605434,驾驶室焊装总成,1,焊接设备1,焊接线,TB驾驶室机器人地板焊合工位,Fixt-1,1,2,2.5,0,0
6,MN-201605434,驾驶室焊装总成,1,焊接设备2,焊接线,TB驾驶室大装焊合工位,,0,2,4.166666666666667,0,0
7,MN-201605434,驾驶室焊装总成,1,焊接设备3,焊接线,TB驾驶室翻转补焊2,,0,2,0,4.17,0
8,MN-201605434,驾驶室焊装总成,1,焊接设备4,焊接线,TB驾驶室补焊,,0,2,0,6,0
9,MN-201605435,驾驶室焊装总成,1,焊接设备1,焊接线,TB驾驶室机器人地板焊合工位,,0,3,2.5,0,0
10,MN-201605435,驾驶室焊装总成,1,焊接设备2,焊接线,TB驾驶室大装焊合工位,,0,3,4.17,0,0
11,MN-201605435,驾驶室焊装总成,1,焊接设备3,焊接线,TB驾驶室翻转补焊1,,0,3,0,6.37,0
12,MN-201605435,驾驶室焊装总成,1,焊接设备4,焊接线,TB驾驶室补焊,,0,3,0,0,8
13,MN-201605435,驾驶室焊装总成,1,焊接设备5,焊接线,TB驾驶室打磨清渣工位,,0,3,0,0,4.33
14,MN-201408391/10,右下侧板焊合/雷欧蓝,1,涂装-1,涂装线,涂装,,0,1,0.6,0,0
15,MN-201408391/10,右下侧板焊合/雷欧蓝,2,涂装-2,涂装线,涂装,,0,1,0.6,0,0
16,MN-201408391,右下侧板焊合,1,焊接设备1,焊接线,TB三代机罩下侧板焊合工位,,0,1,1.6,0,0
17,MN-201605426,机罩总成,1,焊接设备1,焊接线,焊接,,0,1,1.6,0,0
18,MN-201605426,机罩总成,1,涂装-1,涂装线,涂装,,0,1,3,0,0
19,MN-201244223,机罩下侧板总成,1,涂装-1,涂装线,涂装,,0,1,1.05,0,0
20,MN-201244223,机罩下侧板总成,1,焊接设备4,焊接线,TB三代机罩下侧板焊合工位,,0,1,1.6,0,0
21,MN-201430915,驾驶室总成,1,涂装-1,涂装线,涂装,,0,1,13.333333333333334,0,0
22,MN-201430915,驾驶室总成,1,涂装-2,涂装线,涂装,,0,1,13.333333333333334,0,0
23,MN-201240711,机罩总成,1,焊接设备1,焊接线,焊接,,0,1,1.6,0,0
24,MN-201240711,机罩总成,1,涂装-1,涂装线,涂装,,0,1,3,0,0
25,MN-200337028-1,变速箱壳体总成,1,焊接设备2,焊接线,焊接,,0,1,2.2,0,0
26,MN-200337028-1,变速箱壳体总成,1,涂装-1,涂装线,涂装,,0,1,1.5,0,0
25,MN-200337028-2,变速箱壳体总成,1,焊接设备3,焊接线,焊接,,0,1,1.9,0,0
26,MN-200337028-2,变速箱壳体总成,1,涂装-2,涂装线,涂装,,0,1,2,0,0
27,MN-201590776,机罩总成,1,焊接设备1,焊接线,焊接,,0,1,1.6,0,0
28,MN-201590776,机罩总成,1,涂装-1,涂装线,涂装,,0,1,3,0,0
29,MN-201018351,后桥壳体总成,1,焊接设备2,焊接线,焊接,,0,1,2.2,0,0
30,MN-201018351,后桥壳体总成,1,涂装-2,涂装线,涂装,,0,1,1.5,0,0
31,MN-201590779,驾驶室总成,1,涂装-1,涂装线,涂装,,0,1,13.333333333333334,0,0
32,MN-201590779,驾驶室总成,1,涂装-2,涂装线,涂装,,0,1,13.333333333333334,0,0
33,MN-201329354/1,发动机总成,1,焊接设备3,焊接线,焊接,,0,1,1.5,0,0
34,MN-201329354/1,发动机总成,1,涂装-2,涂装线,涂装,,0,1,2.5,0,0
35,MN-201329354/2,发动机总成,1,焊接设备3,焊接线,焊接,,0,1,1.5,0,0
36,MN-201329354/2,发动机总成,1,涂装-2,涂装线,涂装,,0,1,2.5,0,0
37,MN-201220777,变速箱壳体总成,1,焊接设备2,焊接线,焊接,,0,1,2.2,0,0
38,MN-201220777,变速箱壳体总成,1,涂装-2,涂装线,涂装,,0,1,1.5,0,0
39,MN-201140516,机罩总成,1,焊接设备1,焊接线,焊接,,0,1,1.6,0,0
40,MN-201140516,机罩总成,1,涂装-1,涂装线,涂装,,0,1,3,0,0
