序号,自制件代码,自制件名称,虚拟件属性,提前期,初始库存,期末库存,最小库存,最大库存,库存成本
1,MN-201605426,驾驶室总成,0,0,0,0,0,100000,0.01
2,MN-201402406,机罩总成,1,0,0,0,0,100000,0.01
3,MN-201244223,机罩下侧板总成,0,0,0,0,0,100000,0.01
4,MN-201430915,驾驶室总成,0,0,0,0,0,100000,0.01
5,MN-201240711,机罩总成,0,0,0,0,0,100000,0.01
6,MN-200337028-1,变速箱壳体总成,0,0,0,0,0,100000,0.01
7,MN-200337028-2,变速箱壳体总成,0,0,0,0,0,100000,0.01
8,MN-200337028/1,变速箱壳体总成虚拟件,1,0,0,0,0,100000,0.01
9,MN-200337028/2,变速箱壳体总成虚拟件,1,0,0,0,0,100000,0.01
10,MN-201590776,机罩总成,0,0,0,0,0,100000,0.01
11,MN-201018351,后桥壳体总成,0,0,0,0,0,100000,0.01
12,MN-201590779,驾驶室总成,0,0,0,0,0,100000,0.01
13,MN-201329354/1,发动机总成,0,0,0,0,0,100000,0.01
14,MN-201329354/2,发动机总成,0,0,0,0,0,100000,0.01
15,MN-201220777,变速箱壳体总成,0,0,0,0,0,100000,0.01
16,MN-201140516,机罩总成,0,0,0,0,0,100000,0.01
17,MN-201140518,机罩下侧板总成,0,0,0,0,0,100000,0.01
18,MN-200839408,后桥壳体总成,0,0,0,0,0,100000,0.01
19,MN-201605434/50,驾驶室焊装总成/琉璃黑,0,0,0,0,0,100000,0.01
20,MN-201605434/51,驾驶室焊装总成/亚光黑,0,0,0,0,0,100000,0.01
21,MN-201605434,驾驶室焊装总成,0,1,0,0,0,100000,0.01
22,MN-201605435,驾驶室焊装总成,0,2,0,0,0,100000,0.01
23,MN-201408391/10,右下侧板焊合/雷欧蓝,0,0,0,0,0,100000,0.01
24,MN-201408391,右下侧板焊合,0,0,0,0,0,100000,0.01
25,MN-201140509/50,机罩焊合总成/琉璃黑,0,0,0,0,0,100000,0.01
26,MN-201140509,机罩焊合总成,0,0,0,0,0,100000,0.01
27,MN-201547725/51,驾驶室焊装总成/亚光黑,0,0,0,0,0,100000,0.01
28,MN-201547725/50,驾驶室焊装总成琉璃黑,0,0,0,0,0,100000,0.01
29,MN-201547725,驾驶室焊装总成,0,0,0,0,0,100000,0.01
30,MN-201211289/53,机罩焊合总成琉璃黑(出口),0,0,0,0,0,100000,0.01
31,MN-201211289,机罩焊合总成,0,0,0,0,0,100000,0.01
32,MN-200837075/10,机罩上盖板焊合/雷欧蓝,0,0,0,0,0,100000,0.01
33,MN-200837075,机罩上盖板焊合,0,0,0,0,0,100000,0.01
34,MN-TDPYSJ01/51,底盘颜色件01/亚光黑,0,0,0,0,0,100000,0.01
35,MN-201308086,变速箱壳体,0,0,0,0,0,100000,0.01
36,MN-201307086,变速箱壳体,0,0,0,0,0,100000,0.01
37,MN-201443902,后桥壳体,0,0,0,0,0,100000,0.01
38,MN-201590784/51,驾驶室焊装总成/亚光黑,0,0,0,0,0,100000,0.01
39,MN-201590784,驾驶室焊装总成,0,2,0,0,0,100000,0.01
40,MN-200839405,后桥壳体,0,0,0,0,0,100000,0.01
41,MN-200914310/10,右下侧板焊合/雷欧蓝,0,0,0,0,0,100000,0.01
42,MN-200914310,右下侧板焊合,0,0,0,0,0,100000,0.01
43,MN-201448652/10,左下侧板焊合/雷欧蓝,0,0,0,0,0,100000,0.01
44,MN-201448652,左下侧板焊合,0,0,0,0,0,100000,0.01
45,MN-200837075/23,机罩上盖板焊合信号黄,0,0,0,0,0,100000,0.01
