序号,替代类型,物料类别,替代物料一代码,数量一,替代物料二代码,数量二,比例,整批,期号,替代数量上限
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,1,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,2,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,3,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,4,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,5,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,6,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,7,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,8,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,9,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,10,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,11,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,12,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,13,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,14,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,15,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,16,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,17,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,18,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,19,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,20,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,21,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,22,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,23,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,24,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,25,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,26,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,27,20
1,1,产品,MN-TM3B2AN,1,MN-TM3B2AL,1,0,0,28,20
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,1,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,2,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,3,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,4,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,5,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,6,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,7,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,8,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,9,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,10,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,11,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,12,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,13,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,14,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,15,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,16,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,17,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,18,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,19,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,20,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,21,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,22,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,23,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,24,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,25,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,26,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,27,100
2,2,自制件,MN-201605434/50,1,MN-201605434/51,1,0,0,28,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,1,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,2,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,3,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,4,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,5,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,6,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,7,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,8,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,9,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,10,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,11,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,12,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,13,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,14,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,15,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,16,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,17,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,18,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,19,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,20,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,21,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,22,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,23,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,24,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,25,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,26,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,27,100
3,2,自制件,MN-201140509,1,MN-201211289,1,0,0,28,100
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,1,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,2,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,3,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,4,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,5,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,6,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,7,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,8,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,9,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,10,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,11,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,12,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,13,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,14,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,15,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,16,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,17,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,18,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,19,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,20,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,21,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,22,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,23,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,24,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,25,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,26,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,27,30
4,2,自制件,MN-200337028/1,1,MN-200337028/2,1,2,0,28,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,1,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,2,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,3,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,4,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,5,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,6,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,7,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,8,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,9,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,10,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,11,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,12,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,13,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,14,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,15,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,16,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,17,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,18,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,19,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,20,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,21,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,22,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,23,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,24,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,25,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,26,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,27,30
5,2,自制件,MN-200337028/2,1,MN-200337028/1,1,0,0,28,30
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,1,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,2,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,3,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,4,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,5,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,6,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,7,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,8,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,9,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,10,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,11,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,12,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,13,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,14,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,15,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,16,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,17,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,18,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,19,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,20,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,21,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,22,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,23,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,24,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,25,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,26,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,27,2000
6,3,原材料,MN-800044212,1,MN-800045654,1,2,0,28,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,1,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,2,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,3,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,4,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,5,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,6,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,7,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,8,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,9,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,10,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,11,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,12,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,13,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,14,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,15,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,16,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,17,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,18,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,19,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,20,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,21,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,22,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,23,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,24,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,25,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,26,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,27,2000
7,3,原材料,MN-800045654,1,MN-800044212,1,0,0,28,2000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,1,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,2,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,3,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,4,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,5,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,6,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,7,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,8,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,9,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,10,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,11,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,12,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,13,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,14,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,15,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,16,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,17,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,18,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,19,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,20,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,21,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,22,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,23,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,24,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,25,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,26,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,27,1000
8,3,原材料,MN-TDPYSJ03,1,MN-TDPYSJ02,1,0,0,28,1000
